"Profile Information","Profile Information"
"My Profile","My Profile"
"Store Name","Store Name"
"Address","Address"
"Country","Country"
"Store Logo","Store Logo"
"Store Banner","Store Banner"
"Twitter Id","Twitter Id"
"Facebook Id","Facebook Id"
"Theme","Theme"
"Bank Payment","Bank Payment"
"Paypal Id","Paypal Id"
"Description","Description"
"Meta Keyword","Meta Keyword"
"Meta Description","Meta Description"
"Required Fields","Required Fields"
"Save Profile","Save Profile"
"Manage product","Manage product"
"Connect with","Connect with"
"Twitter","Twitter"
"Facebook","Facebook"
"All Products","All Products"
"New Products","New Products"
"Popular Products","Popular Products"
"Seller","Seller"
"Seller:","Seller:"
"Click the button to become a merchant to sell your products in our website","Click the button to become a merchant to sell your products in our website"
"Sellers","Sellers"
"New Seller","New Seller"
"Registered Sellers","Registered Sellers"
"Create Seller Account","Create Seller Account"
"Id","Id"
"Product Name","Product Name"
"Market Place","Market Place"
"My Profile","My Profile"
"Orders","Orders"
"Buyer","Buyer"
"Process Payment via Bank/Paypal Account","Process Payment via Bank/Paypal Account"
"Total Amount Received","Total Amount Received"
"Amount Pending","Amount Pending"
"MARKET PLACE","MARKET PLACE"
"You have no product.","You have no product."
"You have no Order.","You have no Order."
"Add New Product","Add New Product"
"Total Amount Received","Total Amount Received"
"Amount Remaining","Amount Remaining"
"Product Details","Product Details"
"Product price","Product price"
"Earned Amount","Earned Amount"
"Order Grand Total","Order Grand Total"
"Add New Row","Add New Row"
"Add Image","Add Image"
"All Products","All Products"
"You must have a Seller Account to access this page","You must have a Seller Account to access this page"
"Admin Approval is required. Please wait until admin confirms your Seller Account","Admin Approval is required. Please wait until admin confirms your Seller Account"
"Your product is added successfully","Your product is added successfully"
"Please enter all required fields","Please enter all required fields"
"You don't have enough permission to edit this product details.","You don't have enough permission to edit this product details."
"Product Deleted Successfully","Product Deleted Successfully"
"Admin Approval is required for Seller Account","Admin Approval is required for Seller Account"
"An error occured while saving your data","An error occured while saving your data"
"Payment successful","Payment successful"
"Seller Manager","Seller Manager"
"Seller News","Seller News"
"Seller details does not exist","Seller details does not exist"
"Seller approved successfully.","Seller approved successfully."
"Seller details not updated","Seller details not updated"
"Please select at least one seller","Please select at least one seller"
"Seller disapproved.","Seller disapproved."
"Seller successfully deleted","Seller successfully deleted"
"Approve","Approve"
"Disapprove","Disapprove"
"Disapproved","Disapproved"
"Approved","Approved"
"Maximum 255 chars","Maximum 255 chars"
"Your profile information is saved successfully","Your profile information is saved successfully"
"Your product details are updated successfully.","Your product details are updated successfully."
"Are you sure want to delete?","Are you sure want to delete?"
"Images","Images"
"Manage Sellers","Manage Sellers"
"Disabled","Disabled"
"Click the button to become a Seller","Click the button to become a Seller"
"Turn in to a seller today and enjoy some incredible benefits like adding logo to your profile page for better branding, setting up multiple products to improve conversions, etc.","Turn in to a seller today and enjoy some incredible benefits like adding logo to your profile page for better branding, setting up multiple products to improve conversions, etc."
"Meta Title","Meta Title"
"Most Popular","Most Popular"
"Seller Dashboard","Seller Dashboard"
"Life Time Sales","Life Time Sales"
"Average Orders","Average Orders"
"Last Five Orders","Last Five Orders"
"Order Id","Order Id"
"Price","Price"
"Quantity","Quantity"
"Most Viewed Products","Most Viewed Products"
"No of Views","No of Views"
"Manage Products","Manage Products"
"Action","Action"
"Submit","Submit"
"S.NO","S.NO"
"Status","Status"
"Select a status","Select a status",
"Enabled","Enabled"
"Select a Status","Select a Status"
"Select a Range","Select a Range"
"Today","Today"
"Yesterday","Yesterday"
"Last Week","Last Week"
"Last Month","Last Month"
"Product Details","Product Details"
"Product price","Product price"
"Transaction Id","Transaction Id"
"Admin Commission","Admin Commission"
"Paid On","Paid On"
"Acknowledged on","Acknowledged on"
"Transaction History","Transaction History"
"Contact Number","Contact Number"
"Profile Image","Profile Image"
"Remove","Remove"
"Display your profile link in produt detail page","Display your profile link in produt detail page"
"Contact Admin","Contact Admin"
"Contact Information","Contact Information"
"Subject","Subject"
"Message","Message"
"Engage","Engage"
"Join us on facebook","Join us on facebook"
"Join us on twitter","Join us on twitter"
"Become a seller","Become a seller"
"Register as seller","Register as seller"
"Seller dashboard","Seller dashboard"
"Our sellers","Our sellers"
"View all","View all"
"Top Sellers","Top Sellers"
"Feedback Ratings","Feedback Ratings"
"Positive","Positive"
"Neutral","Neutral"
"Negative","Negative"
"5 Stars","5 Stars"
"4 Stars","4 Stars"
"3 Stars","3 Stars"
"2 Stars","2 Stars"
"1 Stars","1 Stars"
"Member since","Member since"
"Location","Location"
"Select One Category","Select One Category"
"Name","Name"
"Categories","Categories"
"Order Date:","Order Date:"
"Back to Orders","Back to Orders"
"Seller Amount","Seller Amount"
"Share with us","Share with us"
"Sales Report","Sales Report"
"No Transactions to Show","No Transactions to Show"
"View All","View All"
"All sellers","All sellers"
"There is no seller(s) to show","There is no seller(s) to show"
"Seller login","Seller login"
"Latest Arrivals","Latest Arrivals"
"Payment Status","Payment Status"
"Acknowledge","Acknowledge"
"Select an option","Select an option"
"Order Id #","Order Id #"
"Email to your Friend","Email to your Friend"
"item(s)","item(s)"
"Search for products...","Search for products..."
"Buy Now","Buy Now"
"Marketplace","Marketplace"
"Payments","Payments"
"Contact","Contact"
"#Products","#Products"
"Commission(%)","Commission(%)"
"Total Sales","Total Sales"
"Received","Received"
"Remaining","Remaining"
"Set Commission","Set Commission"
"Commission","Commission"
"Seller detail","Seller detail"
"Product details","Product details"
"Product Price","Product Price"
"Seller's Earned Amount","Seller's Earned Amount"
"Commission Fee","Commission Fee"
"Order At","Order At"
"Ack Status","Ack Status"
